,Invoicedate,Distributor,GroupId,Type,Provincename,MatNo,Material Name,New_Volume(L),Points,Month
4018,2023-07-06,C,ERW_C08P2020090049,Retails,Nakhon Sawan,145438,MOBIL DELVAC LEGEND 20W-50 Standard DEFENSE PAIL20L :TH,1280,1,7
4019,2023-08-23,C,ERW_C08P2020090049,Retails,Nakhon Sawan,145438,MOBIL DELVAC LEGEND 20W-50 Standard DEFENSE PAIL20L :TH,1660,1,8
4020,2023-08-23,C,ERW_C08P2020090049,Retails,Nakhon Sawan,145500,MOBIL DELVAC MODERN 15W-40 S DEFENSE PAIL20L:TH,4740,2,8
4021,2023-12-11,C,ERW_C08P2020090049,Retails,Nakhon Sawan,145438,MOBIL DELVAC LEGEND 20W-50 Standard DEFENSE PAIL20L :TH,2260,1,12
4022,2023-02-07,C,ERW_C08P2020090056,Retails,Nakhon Sawan,145500,MOBIL DELVAC MODERN 15W-40 S DEFENSE PAIL20L:TH,1240,2,2
4023,2023-10-25,C,ERW_C08P2020090056,Retails,Nakhon Sawan,145500,MOBIL DELVAC MODERN 15W-40 S DEFENSE PAIL20L:TH,4740,2,10
4024,2023-04-11,C,ERW_C08P2020090056,Retails,Nakhon Sawan,145500,MOBIL DELVAC MODERN 15W-40 S DEFENSE PAIL20L:TH,1580,2,4
4025,2023-07-21,C,ERW_C08P2020090056,Retails,Nakhon Sawan,135898,MOBIL LUBE HD 80W90 4/5,2640,1,7
4026,2023-07-15,C,ERW_C08P2020090056,Retails,Nakhon Sawan,145500,MOBIL DELVAC MODERN 15W-40 S DEFENSE PAIL20L:TH,5140,2,7
4027,2023-11-23,C,ERW_C08P2020090062,Retails,Phichit,145500,MOBIL DELVAC MODERN 15W-40 S DEFENSE PAIL20L:TH,5640,2,11
4028,2023-04-29,C,ERW_C08P2020090067,Retails,Phichit,145438,MOBIL DELVAC LEGEND 20W-50 Standard DEFENSE PAIL20L :TH,1320,1,4
4029,2023-07-15,C,ERW_C08P2020090096,Reseller,Phetchabun,143900,MOBIL ATF 220 SYN TECH 4X5L/CAR,1300,1,7
4030,2023-01-12,C,ERW_C08P2020090119,Reseller,Uttaradit,135895,MOBIL LUBE HD 85W140 4/5,3880,1,1
4031,2023-03-07,C,ERW_C08P2020090119,Reseller,Uttaradit,143566,MOBIL SUPER 3000 5W-30 CTN 4X4+1L:TH,860,4,3
4032,2023-06-23,C,ERW_C08P2020090119,Reseller,Uttaradit,135895,MOBIL LUBE HD 85W140 4/5,3820,1,6
4033,2023-06-23,C,ERW_C08P2020090119,Reseller,Uttaradit,135898,MOBIL LUBE HD 80W90 4/5,8880,1,6
4034,2023-11-17,C,ERW_C08P2020090119,Reseller,Uttaradit,135898,MOBIL LUBE HD 80W90 4/5,1000,1,11
4035,2023-02-20,C,ERW_C08P2020090125,Retails,Phrae,143507,MOBIL SUPER 2000 10W40 4/4+1,5520,2,2
4036,2023-11-20,C,ERW_C08P2020090125,Retails,Phrae,145570,MOBIL SUPER FRICTION FIGHTER 10W-40 4x4+1L/CAR,4300,2,11
4037,2023-10-24,C,ERW_C08P2020090127,Reseller,Phrae,135898,MOBIL LUBE HD 80W90 4/5,2320,1,10
4038,2023-10-24,C,ERW_C08P2020090127,Reseller,Phrae,135895,MOBIL LUBE HD 85W140 4/5,3620,1,10
4039,2023-12-19,C,ERW_C08P2020090127,Reseller,Phrae,135895,MOBIL LUBE HD 85W140 4/5,9520,1,12
4040,2023-12-19,C,ERW_C08P2020090127,Reseller,Phrae,135898,MOBIL LUBE HD 80W90 4/5,9040,1,12
4041,2023-09-22,C,ERW_C08P2020090127,Reseller,Phrae,135898,MOBIL LUBE HD 80W90 4/5,6300,1,9
4042,2023-09-22,C,ERW_C08P2020090127,Reseller,Phrae,135895,MOBIL LUBE HD 85W140 4/5,1040,1,9
4043,2023-06-19,C,ERW_C08P2020090127,Reseller,Phrae,135898,MOBIL LUBE HD 80W90 4/5,8500,1,6
4044,2023-04-08,C,ERW_C08P2020090127,Reseller,Phrae,145500,MOBIL DELVAC MODERN 15W-40 S DEFENSE PAIL20L:TH,1640,2,4
4045,2023-04-08,C,ERW_C08P2020090127,Reseller,Phrae,135898,MOBIL LUBE HD 80W90 4/5,6920,1,4
4046,2023-04-08,C,ERW_C08P2020090127,Reseller,Phrae,135895,MOBIL LUBE HD 85W140 4/5,3180,1,4
4047,2023-08-04,C,ERW_C08P2020090147,Retails,Chiang Mai,145570,MOBIL SUPER FRICTION FIGHTER 10W-40 4x4+1L/CAR,6940,2,8
4048,2023-09-26,C,ERW_C08P2020090147,Retails,Chiang Mai,145570,MOBIL SUPER FRICTION FIGHTER 10W-40 4x4+1L/CAR,1580,2,9
